name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Chilling,0.0,0.0293,24630
Berserker's Iron Mace of Chilling,1.0001,1.5098,25973
Dragonshot,1.1576,1.5795,26706
Cleric's Iron Pistol of Chilling,1.0402,1.666,26707
Cleric's Soft Wood Focus of Chilling,0.944,1.4958,27012
Bramblethorne,2.9129,4.0098,27478
Rampager's Soft Wood Staff of Chilling,2.1663,3.9343,27490
Berserker's Soft Wood Short Bow of Chilling,1.0102,1.4948,27790
Rampager's Iron Rifle of Chilling,0.5876,1.5866,27959
Spectral Wave Modulator,1.0967,1.5897,27963
Rampager's Soft Wood Longbow of Chilling,1.0007,2.0,28265
Godswalk Enchiridion,52.0409,81.9922,31041

Lowest 5 buy orders
Superior Sigil of Chilling,0.0
Superior Sigil of Chilling,0.0
Superior Sigil of Chilling,0.0
Superior Sigil of Chilling,0.0
Superior Sigil of Chilling,0.0

Lowest 5 sell offers
Superior Sigil of Chilling, ,0.0293
Superior Sigil of Chilling, ,0.0293
Superior Sigil of Chilling, ,0.0293
Superior Sigil of Chilling, ,0.0293
Superior Sigil of Chilling, ,0.0293
