name,highest buy (gold),lowest sell (gold), id
Dire Ceremonial Longbow of Accuracy,1.0409,2.0008,47529
Dire Ceremonial Morning Star of Accuracy,1.0511,1.5016,47533
Dire Ceremonial Pistol of Accuracy,1.0648,1.5038,47537
Dire Ceremonial Rifle of Accuracy,1.041,1.455,47541
Dire Ceremonial Scepter of Accuracy,1.0308,1.6792,47545
Dire Ceremonial Bulwark of Accuracy,1.0303,1.5367,47549
Dire Ceremonial Short Bow of Accuracy,1.0213,1.6009,47553
Dire Ceremonial Speargun of Accuracy,1.0205,1.5,47557
Dire Ceremonial Stave of Accuracy,1.7753,3.605,47561
Dire Ceremonial Sabre of Accuracy,2.0389,2.8,47565
Dire Ceremonial Torch of Accuracy,1.0232,1.4996,47569
Dire Ceremonial Trident of Accuracy,1.0002,1.4995,47573
Dire Ceremonial Warhorn of Accuracy,1.0115,1.5074,47577

Lowest 5 buy orders
Superior Sigil of Accuracy,0.1262
Superior Sigil of Accuracy,0.1262
Superior Sigil of Accuracy,0.1262
Superior Sigil of Accuracy,0.1262
Superior Sigil of Accuracy,0.1262

Lowest 5 sell offers
Sentinel's Soft Wood Staff of Accuracy, ,0.0
Superior Sigil of Accuracy, ,0.1847
Superior Sigil of Accuracy, ,0.1847
Superior Sigil of Accuracy, ,0.1847
Superior Sigil of Accuracy, ,0.1847
