name,highest buy (gold),lowest sell (gold), id
Shaman's Sneakthief Mask of the Grove,0.3177,1.0008,107
Berserker's Sneakthief Sandals of the Grove,0.404,0.591,398
Berserker's Sneakthief Gloves of the Grove,2.005,4.9998,692
Carrion Scallywag Pauldrons of the Grove,1.51,4.5297,2131
Carrion Seer Mask of the Grove,0.4118,0.5979,2390
Rampager's Seer Mask of the Grove,1.3672,2.1695,2393
Superior Rune of the Grove,0.0,0.0256,24735
Sentinel's Banded Helm of the Grove,10.0602,499.0499,41642
Sentinel's Rogue Coat of the Grove,11.0435,0.0,41652
Dire Scallywag Pauldrons of the Grove,0.6039,0.8999,45069

Lowest 5 buy orders
Superior Rune of the Grove,0.0
Shaman's Sneakthief Mask of the Grove,0.3177
Shaman's Sneakthief Mask of the Grove,0.3177
Shaman's Sneakthief Mask of the Grove,0.3177
Shaman's Sneakthief Mask of the Grove,0.3177

Lowest 5 sell offers
Sentinel's Rogue Coat of the Grove, ,0.0
Superior Rune of the Grove, ,0.0256
Berserker's Sneakthief Sandals of the Grove, ,0.591
Carrion Seer Mask of the Grove, ,0.5979
Dire Scallywag Pauldrons of the Grove, ,0.8999
