name,highest buy (gold),lowest sell (gold), id
Dire Ceremonial Longbow of Blood,1.654,8.09,47527
Dire Ceremonial Morning Star of Blood,1.5013,3.0542,47531
Dire Ceremonial Pistol of Blood,1.4332,2.958,47535
Dire Ceremonial Rifle of Blood,0.7976,1.5592,47539
Dire Ceremonial Scepter of Blood,0.8834,3.9997,47543
Dire Ceremonial Bulwark of Blood,1.5923,3.9978,47547
Dire Ceremonial Short Bow of Blood,0.6022,1.7901,47551
Dire Ceremonial Speargun of Blood,0.5609,1.9045,47555
Dire Ceremonial Stave of Blood,4.167,8.2986,47559
Dire Ceremonial Sabre of Blood,6.5461,13.9995,47563
Dire Ceremonial Torch of Blood,0.9799,2.2555,47567
Dire Ceremonial Trident of Blood,0.6127,1.7801,47571
Dire Ceremonial Warhorn of Blood,0.8855,1.7774,47575
Scarlet's Rainbow,336.0004,525.2525,63856
Scarlet's Kiss,655.0009,900.0,63857
Nightwing,9.0001,12.5998,70732

Lowest 5 buy orders
Superior Sigil of Blood,0.0845
Superior Sigil of Blood,0.0845
Superior Sigil of Blood,0.0845
Superior Sigil of Blood,0.0845
Superior Sigil of Blood,0.0845

Lowest 5 sell offers
Superior Sigil of Blood, ,0.1621
Superior Sigil of Blood, ,0.1621
Superior Sigil of Blood, ,0.1621
Superior Sigil of Blood, ,0.1621
Superior Sigil of Blood, ,0.1621
