name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Battle,0.051,0.0978,24601
Claws of the Desert,1.6119,2.1805,26148
Shield of the Wing,1.3032,2.1531,26561
Rampager's Iron Pistol of Battle,0.9658,3.3333,26694
Kodanroar,2.1515,3.4987,26874
Rampager's Soft Wood Torch of Battle,0.8128,1.537,27175
Ebonblade,3.3073,4.2583,27328
Berserker's Soft Wood Short Bow of Battle,1.0017,3.3693,27800
Berserker's Steam Speargun of Battle,1.0,1.4998,28103
The Flameseeker Prophecies,2464.9999,2899.9999,30696
Cooguloosh,7.6538,11.5,31040
Sentinel's Iron Mace of Battle,31.0103,299.9999,41721
Beacon of Light,1.2505,1.9411,44982

Lowest 5 buy orders
Superior Sigil of Battle,0.051
Superior Sigil of Battle,0.051
Superior Sigil of Battle,0.051
Superior Sigil of Battle,0.051
Superior Sigil of Battle,0.051

Lowest 5 sell offers
Superior Sigil of Battle, ,0.0978
Superior Sigil of Battle, ,0.0978
Superior Sigil of Battle, ,0.0978
Superior Sigil of Battle, ,0.0978
Superior Sigil of Battle, ,0.0978
