name,highest buy (gold),lowest sell (gold), id
Dire Ceremonial Scepter of Rage,1.6507,3.2998,47546
Dire Ceremonial Bulwark of Rage,1.1814,1.9993,47550
Dire Ceremonial Short Bow of Rage,1.1681,1.9505,47554
Dire Ceremonial Speargun of Rage,1.0036,1.8499,47558
Dire Ceremonial Stave of Rage,2.7862,4.0179,47562
Dire Ceremonial Sabre of Rage,2.405,3.4343,47566
Dire Ceremonial Torch of Rage,1.5427,2.979,47570
Dire Ceremonial Trident of Rage,1.1105,1.7759,47574
Dire Ceremonial Warhorn of Rage,0.9071,2.4508,47578

Lowest 5 buy orders
Superior Sigil of Rage,0.0001
Superior Sigil of Rage,0.0001
Superior Sigil of Rage,0.0001
Superior Sigil of Rage,0.0001
Superior Sigil of Rage,0.0001

Lowest 5 sell offers
Superior Sigil of Rage, ,0.0259
Superior Sigil of Rage, ,0.0259
Superior Sigil of Rage, ,0.0259
Superior Sigil of Rage, ,0.0259
Superior Sigil of Rage, ,0.0259
