name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Energy,2.8955,3.9675,24607
Fixer Upper,2.4001,3.3333,25979
Rampager's Iron Pistol of Energy,2.9009,4.9392,26704
Tinwail,2.7502,3.53,26850
Defiant Blaze,3.1505,3.6592,27179
Rampager's Iron Greatsword of Energy,2.3204,4.1901,27332
Berserker's Iron Hammer of Energy,4.5864,6.3499,27642
Rampager's Iron Hammer of Energy,3.1772,4.8995,27645
Cleric's Soft Wood Longbow of Energy,3.0544,4.7396,28267
Rampager's Iron Spear of Energy,3.1269,5.4595,28577
The Minstrel,1425.0099,1750.0,30688
The Moot,1625.0,2223.0,30692
Courage,6.7501,7.9599,31042
Chalice of the Gods,3.0502,3.5001,47084

Lowest 5 buy orders
Rampager's Iron Greatsword of Energy,2.3204
Fixer Upper,2.4001
Tinwail,2.7502
Superior Sigil of Energy,2.8955
Superior Sigil of Energy,2.8955

Lowest 5 sell offers
Fixer Upper, ,3.3333
Chalice of the Gods, ,3.5001
Tinwail, ,3.53
Defiant Blaze, ,3.6592
Superior Sigil of Energy, ,3.9675
