name,highest buy (gold),lowest sell (gold), id
Rampager's Sneakthief Mask of the Citadel,0.6064,1.6025,96
Berserker's Sneakthief Sandals of the Citadel,0.4002,0.7195,188
Berserker's Seer Boots of the Citadel,0.4022,0.8998,569
Berserker's Sneakthief Shoulderguards of the Citadel,1.6147,6.8995,635
Berserker's Scallywag Greaves of the Citadel,0.8084,2.48,802
Berserker's Sneakthief Gloves of the Citadel,0.3729,0.5992,824
Berserker's Scallywag Gauntlets of the Citadel,0.5549,1.5008,1328
Carrion Scallywag Gauntlets of the Citadel,0.4511,0.6524,1337
Rampager's Scallywag Legs of the Citadel,1.1016,3.8159,1864
Carrion Seer Gloves of the Citadel,0.3862,0.6,2033
Carrion Scallywag Pauldrons of the Citadel,0.4542,0.8991,2133
Superior Rune of the Citadel,0.0257,0.0347,24741

Lowest 5 buy orders
Superior Rune of the Citadel,0.0257
Berserker's Sneakthief Gloves of the Citadel,0.3729
Carrion Seer Gloves of the Citadel,0.3862
Berserker's Sneakthief Sandals of the Citadel,0.4002
Berserker's Seer Boots of the Citadel,0.4022

Lowest 5 sell offers
Superior Rune of the Citadel, ,0.0347
Berserker's Sneakthief Gloves of the Citadel, ,0.5992
Carrion Seer Gloves of the Citadel, ,0.6
Carrion Scallywag Gauntlets of the Citadel, ,0.6524
Berserker's Sneakthief Sandals of the Citadel, ,0.7195
